# id	BLACK|WHITE	MOD|PACK|BRAND|PLAYER|DEVICE	EXACT|GLOB	value
ec9c24fb-f116-45b1-ab0e-12ddb35b97c8	BLACK	MOD	GLOB	test*cheat
73704aff-cc0d-4741-a533-4ea9a7cb9673	BLACK	MOD	EXACT	meteor-client
